day,segment,stock_id,symbol,company,sector,segment_open,segment_high,segment_low,segment_close,change_pct,volume,prev_segment_volume,vol_change_pct,vol_change_flag,flag,short_note_concise,expected_movement,mini_history
1,C,2,ICICIBANK,ICICI Bank,Banking,175.26,178.59,173.31,174.21,-0.6,46532,45374,2.55,VOL_STABLE,NORMAL,ICICIBANK: seg move -0.60%,Downside,"0.0%|46532,-0.6%|46532"
1,C,3,SBIN,SBI,Banking,275.57,277.59,274.83,275.92,0.13,133848,132748,0.83,VOL_STABLE,NORMAL,SBIN: seg move 0.13%,Follow-through,"0.0%|133848,0.13%|133848"
1,C,4,RELIANCE,Reliance,Energy,180.31,184.14,179.5,182.85,1.41,143958,144141,-0.13,VOL_STABLE,NORMAL,RELIANCE: seg move 1.41%,Follow-through,"0.0%|143958,1.41%|143958"
1,C,5,TCS,TCS,IT,192.81,192.98,189.53,189.63,-1.65,75601,74102,2.02,VOL_STABLE,NORMAL,TCS: seg move -1.65%,Downside,"0.0%|75601,-1.65%|75601"
1,C,6,INFY,Infosys,IT,535.54,537.29,532.08,533.53,-0.38,154699,156113,-0.91,VOL_STABLE,NORMAL,INFY: seg move -0.38%,Downside,"0.0%|154699,-0.38%|154699"
1,C,7,WIPRO,Wipro,IT,645.15,647.32,642.84,643.52,-0.25,18948,19080,-0.69,VOL_STABLE,NORMAL,WIPRO: seg move -0.25%,Downside,"0.0%|18948,-0.25%|18948"
1,C,8,HINDUNILVR,HUL,FMCG,35.37,36.53,33.98,35.88,1.44,149212,149933,-0.48,VOL_STABLE,NORMAL,HINDUNILVR: seg move 1.44%,Follow-through,"0.0%|149212,1.44%|149212"
1,C,9,ITC,ITC,FMCG,779.21,781.85,776.55,777.67,-0.2,152955,152365,0.39,VOL_STABLE,NORMAL,ITC: seg move -0.20%,Downside,"0.0%|152955,-0.2%|152955"
1,C,10,TATAMOTORS,Tata Motors,Auto,599.31,599.4,597.75,598.03,-0.21,122451,123174,-0.59,VOL_STABLE,NORMAL,TATAMOTORS: seg move -0.21%,Downside,"0.0%|122451,-0.21%|122451"
1,C,11,MARUTI,Maruti Suzuki,Auto,523.41,524.98,522.08,522.99,-0.08,81214,80142,1.34,VOL_STABLE,NORMAL,MARUTI: seg move -0.08%,Downside,"0.0%|81214,-0.08%|81214"
1,C,12,BAJAJFINSV,Bajaj Finserv,Financial Services,143.63,145.46,139.96,145.41,1.24,41478,42373,-2.11,VOL_STABLE,NORMAL,BAJAJFINSV: seg move 1.24%,Follow-through,"0.0%|41478,1.24%|41478"
1,C,13,HDFCLIFE,HDFC Life,Insurance,410.26,413.73,408.83,411.38,0.27,48902,48892,0.02,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.27%,Follow-through,"0.0%|48902,0.27%|48902"
1,C,14,SUNPHARMA,Sun Pharma,Pharma,151.97,154.24,150.06,153.06,0.72,174253,172279,1.15,VOL_STABLE,NORMAL,SUNPHARMA: seg move 0.72%,Follow-through,"0.0%|174253,0.72%|174253"
1,C,15,CIPLA,Cipla,Pharma,656.6,657.61,655.37,656.93,0.05,119615,121069,-1.2,VOL_STABLE,NORMAL,CIPLA: seg move 0.05%,Follow-through,"0.0%|119615,0.05%|119615"
2,M,1,HDFCBANK,HDFC Bank,Banking,294.79,297.86,293.68,297.68,0.98,185115,185665,-0.3,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.98%,Follow-through,"0.0%|185115,0.98%|185115"
2,M,2,ICICIBANK,ICICI Bank,Banking,172.44,175.13,169.08,171.94,-0.29,126921,125233,1.35,VOL_STABLE,NORMAL,ICICIBANK: seg move -0.29%,Downside,"0.0%|126921,-0.29%|126921"
2,M,3,SBIN,SBI,Banking,278.27,280.95,277.83,278.72,0.16,135890,137271,-1.01,VOL_STABLE,NORMAL,SBIN: seg move 0.16%,Follow-through,"0.0%|135890,0.16%|135890"
2,M,4,RELIANCE,Reliance,Energy,180.09,180.9,176.7,179.09,-0.56,153019,153023,-0.0,VOL_STABLE,NORMAL,RELIANCE: seg move -0.56%,Downside,"0.0%|153019,-0.56%|153019"
2,M,5,TCS,TCS,IT,188.4,189.43,185.88,188.21,-0.1,181149,181963,-0.45,VOL_STABLE,NORMAL,TCS: seg move -0.10%,Downside,"0.0%|181149,-0.1%|181149"
2,M,6,INFY,Infosys,IT,532.56,533.48,529.53,531.76,-0.15,125560,126793,-0.97,VOL_STABLE,NORMAL,INFY: seg move -0.15%,Downside,"0.0%|125560,-0.15%|125560"
2,M,7,WIPRO,Wipro,IT,642.76,646.39,639.59,639.78,-0.46,165115,163338,1.09,VOL_STABLE,NORMAL,WIPRO: seg move -0.46%,Downside,"0.0%|165115,-0.46%|165115"
2,M,8,HINDUNILVR,HUL,FMCG,38.46,41.32,36.02,40.21,4.55,196229,196265,-0.02,VOL_STABLE,NORMAL,HINDUNILVR: seg move 4.55%,Follow-through,"0.0%|196229,4.55%|196229"
2,M,9,ITC,ITC,FMCG,777.35,780.57,774.85,779.45,0.27,80605,81349,-0.91,VOL_STABLE,NORMAL,ITC: seg move 0.27%,Follow-through,"0.0%|80605,0.27%|80605"
2,M,10,TATAMOTORS,Tata Motors,Auto,600.28,600.49,599.34,599.76,-0.09,138037,138772,-0.53,VOL_STABLE,NORMAL,TATAMOTORS: seg move -0.09%,Downside,"0.0%|138037,-0.09%|138037"
2,M,11,MARUTI,Maruti Suzuki,Auto,521.78,524.08,520.25,523.17,0.27,190715,189048,0.88,VOL_STABLE,NORMAL,MARUTI: seg move 0.27%,Follow-through,"0.0%|190715,0.27%|190715"
2,M,12,BAJAJFINSV,Bajaj Finserv,Financial Services,145.17,147.85,141.63,144.12,-0.72,182086,180749,0.74,VOL_STABLE,NORMAL,BAJAJFINSV: seg move -0.72%,Downside,"0.0%|182086,-0.72%|182086"
2,M,13,HDFCLIFE,HDFC Life,Insurance,414.26,415.66,412.82,414.33,0.02,31093,30245,2.8,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.02%,Follow-through,"0.0%|31093,0.02%|31093"
2,M,14,SUNPHARMA,Sun Pharma,Pharma,150.99,151.86,147.25,148.94,-1.36,113529,114513,-0.86,VOL_STABLE,NORMAL,SUNPHARMA: seg move -1.36%,Downside,"0.0%|113529,-1.36%|113529"
2,M,15,CIPLA,Cipla,Pharma,656.79,660.27,656.26,659.4,0.4,57960,56922,1.82,VOL_STABLE,NORMAL,CIPLA: seg move 0.40%,Follow-through,"0.0%|57960,0.4%|57960"
2,D,1,HDFCBANK,HDFC Bank,Banking,297.38,300.99,297.32,299.49,0.71,31372,30357,3.34,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.71%,Follow-through,"0.0%|31372,0.71%|31372"
2,D,2,ICICIBANK,ICICI Bank,Banking,174.4,177.11,171.27,172.12,-1.31,112185,114058,-1.64,VOL_STABLE,NORMAL,ICICIBANK: seg move -1.31%,Downside,"0.0%|112185,-1.31%|112185"
2,D,3,SBIN,SBI,Banking,279.23,282.46,277.11,278.92,-0.11,15783,16771,-5.89,VOL_DOWN,NORMAL,SBIN: seg move -0.11%,Downside,"0.0%|15783,-0.11%|15783"
2,D,4,RELIANCE,Reliance,Energy,180.15,182.67,179.24,180.71,0.31,62590,61262,2.17,VOL_STABLE,NORMAL,RELIANCE: seg move 0.31%,Follow-through,"0.0%|62590,0.31%|62590"
2,D,5,TCS,TCS,IT,189.32,190.8,186.27,189.18,-0.07,44780,43003,4.13,VOL_STABLE,NORMAL,TCS: seg move -0.07%,Downside,"0.0%|44780,-0.07%|44780"
2,D,6,INFY,Infosys,IT,533.73,534.31,530.77,532.95,-0.15,36323,34388,5.63,VOL_UP,NORMAL,INFY: seg move -0.15%,Downside,"0.0%|36323,-0.15%|36323"
2,D,7,WIPRO,Wipro,IT,638.51,641.71,635.31,639.97,0.23,104429,105551,-1.06,VOL_STABLE,NORMAL,WIPRO: seg move 0.23%,Follow-through,"0.0%|104429,0.23%|104429"
2,D,8,HINDUNILVR,HUL,FMCG,41.94,44.61,40.34,40.56,-3.29,98869,99242,-0.38,VOL_STABLE,NORMAL,HINDUNILVR: seg move -3.29%,Downside,"0.0%|98869,-3.29%|98869"
2,D,9,ITC,ITC,FMCG,781.18,781.89,778.72,780.15,-0.13,169557,171533,-1.15,VOL_STABLE,NORMAL,ITC: seg move -0.13%,Downside,"0.0%|169557,-0.13%|169557"
2,D,10,TATAMOTORS,Tata Motors,Auto,598.86,600.11,598.55,599.24,0.06,65985,65186,1.23,VOL_STABLE,NORMAL,TATAMOTORS: seg move 0.06%,Follow-through,"0.0%|65985,0.06%|65985"
2,D,11,MARUTI,Maruti Suzuki,Auto,523.06,525.61,522.79,523.6,0.1,117305,118993,-1.42,VOL_STABLE,NORMAL,MARUTI: seg move 0.10%,Follow-through,"0.0%|117305,0.1%|117305"
2,D,12,BAJAJFINSV,Bajaj Finserv,Financial Services,146.1,148.96,144.25,145.85,-0.17,84275,84631,-0.42,VOL_STABLE,NORMAL,BAJAJFINSV: seg move -0.17%,Downside,"0.0%|84275,-0.17%|84275"
2,D,13,HDFCLIFE,HDFC Life,Insurance,413.79,415.11,410.31,412.66,-0.27,64312,62572,2.78,VOL_STABLE,NORMAL,HDFCLIFE: seg move -0.27%,Downside,"0.0%|64312,-0.27%|64312"
2,D,14,SUNPHARMA,Sun Pharma,Pharma,151.3,154.12,149.38,150.98,-0.21,179631,180695,-0.59,VOL_STABLE,NORMAL,SUNPHARMA: seg move -0.21%,Downside,"0.0%|179631,-0.21%|179631"
2,D,15,CIPLA,Cipla,Pharma,660.76,663.17,660.68,661.67,0.14,84736,85211,-0.56,VOL_STABLE,NORMAL,CIPLA: seg move 0.14%,Follow-through,"0.0%|84736,0.14%|84736"
2,C,1,HDFCBANK,HDFC Bank,Banking,300.54,303.16,300.42,301.74,0.4,62236,63577,-2.11,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.40%,Follow-through,"0.0%|62236,0.4%|62236"
2,C,2,ICICIBANK,ICICI Bank,Banking,175.47,175.71,174.79,175.47,0.0,34869,35647,-2.18,VOL_STABLE,NORMAL,ICICIBANK: seg move 0.00%,Flat,"0.0%|34869,0.0%|34869"
2,C,3,SBIN,SBI,Banking,280.29,280.59,276.7,279.84,-0.16,183010,183289,-0.15,VOL_STABLE,NORMAL,SBIN: seg move -0.16%,Downside,"0.0%|183010,-0.16%|183010"
2,C,4,RELIANCE,Reliance,Energy,180.83,181.76,178.21,179.73,-0.61,23436,22335,4.93,VOL_STABLE,NORMAL,RELIANCE: seg move -0.61%,Downside,"0.0%|23436,-0.61%|23436"
2,C,5,TCS,TCS,IT,191.03,193.13,187.28,190.82,-0.11,183206,184548,-0.73,VOL_STABLE,NORMAL,TCS: seg move -0.11%,Downside,"0.0%|183206,-0.11%|183206"
2,C,6,INFY,Infosys,IT,532.76,534.84,531.58,532.02,-0.14,96412,96358,0.06,VOL_STABLE,NORMAL,INFY: seg move -0.14%,Downside,"0.0%|96412,-0.14%|96412"
2,C,7,WIPRO,Wipro,IT,636.93,638.3,634.65,636.23,-0.11,91229,93014,-1.92,VOL_STABLE,NORMAL,WIPRO: seg move -0.11%,Downside,"0.0%|91229,-0.11%|91229"
2,C,8,HINDUNILVR,HUL,FMCG,39.44,43.01,39.34,42.82,8.57,39786,41252,-3.55,VOL_STABLE,NORMAL,HINDUNILVR: seg move 8.57%,Follow-through,"0.0%|39786,8.57%|39786"
2,C,9,ITC,ITC,FMCG,779.19,781.87,777.83,781.43,0.29,78237,78539,-0.38,VOL_STABLE,NORMAL,ITC: seg move 0.29%,Follow-through,"0.0%|78237,0.29%|78237"
2,C,10,TATAMOTORS,Tata Motors,Auto,600.66,604.44,597.24,600.76,0.02,20828,19466,7.0,VOL_UP,NORMAL,TATAMOTORS: seg move 0.02%,Follow-through,"0.0%|20828,0.02%|20828"
2,C,11,MARUTI,Maruti Suzuki,Auto,523.47,527.0,519.74,524.78,0.25,100800,100912,-0.11,VOL_STABLE,NORMAL,MARUTI: seg move 0.25%,Follow-through,"0.0%|100800,0.25%|100800"
2,C,12,BAJAJFINSV,Bajaj Finserv,Financial Services,146.04,149.05,145.15,146.88,0.58,189892,188252,0.87,VOL_STABLE,NORMAL,BAJAJFINSV: seg move 0.58%,Follow-through,"0.0%|189892,0.58%|189892"
2,C,13,HDFCLIFE,HDFC Life,Insurance,410.14,412.2,407.47,408.44,-0.41,121274,122547,-1.04,VOL_STABLE,NORMAL,HDFCLIFE: seg move -0.41%,Downside,"0.0%|121274,-0.41%|121274"
2,C,14,SUNPHARMA,Sun Pharma,Pharma,149.05,149.65,148.31,148.33,-0.48,83417,81537,2.31,VOL_STABLE,NORMAL,SUNPHARMA: seg move -0.48%,Downside,"0.0%|83417,-0.48%|83417"
2,C,15,CIPLA,Cipla,Pharma,661.47,662.56,659.53,661.04,-0.07,149393,149673,-0.19,VOL_STABLE,NORMAL,CIPLA: seg move -0.07%,Downside,"0.0%|149393,-0.07%|149393"
3,M,1,HDFCBANK,HDFC Bank,Banking,301.04,302.22,300.9,301.42,0.13,86603,85033,1.85,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.13%,Follow-through,"0.0%|86603,0.13%|86603"
3,M,2,ICICIBANK,ICICI Bank,Banking,174.32,177.21,172.18,176.46,1.23,68358,69744,-1.99,VOL_STABLE,NORMAL,ICICIBANK: seg move 1.23%,Follow-through,"0.0%|68358,1.23%|68358"
3,M,3,SBIN,SBI,Banking,279.95,283.11,276.11,281.79,0.66,131340,131301,0.03,VOL_STABLE,NORMAL,SBIN: seg move 0.66%,Follow-through,"0.0%|131340,0.66%|131340"
3,M,4,RELIANCE,Reliance,Energy,178.84,182.09,175.08,176.49,-1.31,86909,86998,-0.1,VOL_STABLE,NORMAL,RELIANCE: seg move -1.31%,Downside,"0.0%|86909,-1.31%|86909"
3,M,5,TCS,TCS,IT,189.47,193.19,186.67,190.41,0.5,50648,49831,1.64,VOL_STABLE,NORMAL,TCS: seg move 0.50%,Follow-through,"0.0%|50648,0.5%|50648"
3,M,6,INFY,Infosys,IT,530.02,530.43,528.98,529.89,-0.02,85116,86214,-1.27,VOL_STABLE,NORMAL,INFY: seg move -0.02%,Downside,"0.0%|85116,-0.02%|85116"
3,M,7,WIPRO,Wipro,IT,635.03,637.93,632.51,637.91,0.45,152131,152351,-0.14,VOL_STABLE,NORMAL,WIPRO: seg move 0.45%,Follow-through,"0.0%|152131,0.45%|152131"
3,M,8,HINDUNILVR,HUL,FMCG,39.73,42.99,38.85,39.6,-0.33,53990,52562,2.72,VOL_STABLE,NORMAL,HINDUNILVR: seg move -0.33%,Downside,"0.0%|53990,-0.33%|53990"
3,M,9,ITC,ITC,FMCG,781.35,784.47,779.31,782.93,0.2,61807,60766,1.71,VOL_STABLE,NORMAL,ITC: seg move 0.20%,Follow-through,"0.0%|61807,0.2%|61807"
3,M,10,TATAMOTORS,Tata Motors,Auto,599.24,602.04,599.18,600.45,0.2,164761,164526,0.14,VOL_STABLE,NORMAL,TATAMOTORS: seg move 0.20%,Follow-through,"0.0%|164761,0.2%|164761"
3,M,11,MARUTI,Maruti Suzuki,Auto,521.8,523.33,518.49,519.31,-0.48,183022,182873,0.08,VOL_STABLE,NORMAL,MARUTI: seg move -0.48%,Downside,"0.0%|183022,-0.48%|183022"
3,M,12,BAJAJFINSV,Bajaj Finserv,Financial Services,144.24,144.81,143.38,144.31,0.05,11093,12747,-12.98,VOL_DOWN,NORMAL,BAJAJFINSV: seg move 0.05%,Follow-through,"0.0%|11093,0.05%|11093"
3,M,13,HDFCLIFE,HDFC Life,Insurance,406.88,409.43,403.61,408.67,0.44,73968,74161,-0.26,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.44%,Follow-through,"0.0%|73968,0.44%|73968"
3,M,14,SUNPHARMA,Sun Pharma,Pharma,146.13,146.76,142.53,143.3,-1.94,172408,170794,0.94,VOL_STABLE,NORMAL,SUNPHARMA: seg move -1.94%,Downside,"0.0%|172408,-1.94%|172408"
3,M,15,CIPLA,Cipla,Pharma,662.93,662.98,662.11,662.88,-0.01,154115,154767,-0.42,VOL_STABLE,NORMAL,CIPLA: seg move -0.01%,Downside,"0.0%|154115,-0.01%|154115"
3,D,1,HDFCBANK,HDFC Bank,Banking,304.34,305.6,303.43,305.52,0.39,46751,47210,-0.97,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.39%,Follow-through,"0.0%|46751,0.39%|46751"
3,D,2,ICICIBANK,ICICI Bank,Banking,174.77,178.55,171.03,174.81,0.02,44585,44696,-0.25,VOL_STABLE,NORMAL,ICICIBANK: seg move 0.02%,Follow-through,"0.0%|44585,0.02%|44585"
3,D,3,SBIN,SBI,Banking,279.21,281.24,277.1,279.92,0.25,153920,154584,-0.43,VOL_STABLE,NORMAL,SBIN: seg move 0.25%,Follow-through,"0.0%|153920,0.25%|153920"
3,D,4,RELIANCE,Reliance,Energy,175.29,175.4,172.2,174.78,-0.29,59130,60544,-2.34,VOL_STABLE,NORMAL,RELIANCE: seg move -0.29%,Downside,"0.0%|59130,-0.29%|59130"
3,D,5,TCS,TCS,IT,187.71,190.7,186.97,190.36,1.41,62816,63511,-1.09,VOL_STABLE,NORMAL,TCS: seg move 1.41%,Follow-through,"0.0%|62816,1.41%|62816"
3,D,6,INFY,Infosys,IT,528.83,530.12,527.23,530.09,0.24,140465,139550,0.66,VOL_STABLE,NORMAL,INFY: seg move 0.24%,Follow-through,"0.0%|140465,0.24%|140465"
3,D,7,WIPRO,Wipro,IT,636.5,637.62,634.13,635.69,-0.13,187695,186110,0.85,VOL_STABLE,NORMAL,WIPRO: seg move -0.13%,Downside,"0.0%|187695,-0.13%|187695"
3,D,8,HINDUNILVR,HUL,FMCG,41.53,44.82,38.3,39.08,-5.9,21219,22642,-6.28,VOL_DOWN,NORMAL,HINDUNILVR: seg move -5.90%,Downside,"0.0%|21219,-5.9%|21219"
3,D,9,ITC,ITC,FMCG,785.65,786.92,784.78,785.59,-0.01,119445,117823,1.38,VOL_STABLE,NORMAL,ITC: seg move -0.01%,Downside,"0.0%|119445,-0.01%|119445"
3,D,10,TATAMOTORS,Tata Motors,Auto,598.38,600.33,598.31,599.73,0.23,19390,18942,2.37,VOL_STABLE,NORMAL,TATAMOTORS: seg move 0.23%,Follow-through,"0.0%|19390,0.23%|19390"
3,D,11,MARUTI,Maruti Suzuki,Auto,520.39,522.58,517.63,519.99,-0.08,136409,137621,-0.88,VOL_STABLE,NORMAL,MARUTI: seg move -0.08%,Downside,"0.0%|136409,-0.08%|136409"
3,D,12,BAJAJFINSV,Bajaj Finserv,Financial Services,141.12,141.55,137.88,140.23,-0.63,57526,56997,0.93,VOL_STABLE,NORMAL,BAJAJFINSV: seg move -0.63%,Downside,"0.0%|57526,-0.63%|57526"
3,D,13,HDFCLIFE,HDFC Life,Insurance,406.49,410.48,405.47,409.59,0.76,125792,124401,1.12,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.76%,Follow-through,"0.0%|125792,0.76%|125792"
3,D,14,SUNPHARMA,Sun Pharma,Pharma,142.41,143.14,141.83,142.37,-0.03,28722,30443,-5.65,VOL_DOWN,NORMAL,SUNPHARMA: seg move -0.03%,Downside,"0.0%|28722,-0.03%|28722"
3,D,15,CIPLA,Cipla,Pharma,664.9,667.41,663.09,664.16,-0.11,113611,113750,-0.12,VOL_STABLE,NORMAL,CIPLA: seg move -0.11%,Downside,"0.0%|113611,-0.11%|113611"
3,C,1,HDFCBANK,HDFC Bank,Banking,307.92,311.04,304.21,306.56,-0.44,98206,98324,-0.12,VOL_STABLE,NORMAL,HDFCBANK: seg move -0.44%,Downside,"0.0%|98206,-0.44%|98206"
3,C,2,ICICIBANK,ICICI Bank,Banking,173.3,176.44,171.25,174.2,0.52,36085,34548,4.45,VOL_STABLE,NORMAL,ICICIBANK: seg move 0.52%,Follow-through,"0.0%|36085,0.52%|36085"
3,C,3,SBIN,SBI,Banking,279.06,280.13,278.06,278.44,-0.22,54486,53468,1.9,VOL_STABLE,NORMAL,SBIN: seg move -0.22%,Downside,"0.0%|54486,-0.22%|54486"
3,C,4,RELIANCE,Reliance,Energy,175.13,177.91,171.97,174.26,-0.5,189330,190010,-0.36,VOL_STABLE,NORMAL,RELIANCE: seg move -0.50%,Downside,"0.0%|189330,-0.5%|189330"
3,C,5,TCS,TCS,IT,192.26,192.33,191.85,192.29,0.02,72060,72197,-0.19,VOL_STABLE,NORMAL,TCS: seg move 0.02%,Follow-through,"0.0%|72060,0.02%|72060"
3,C,6,INFY,Infosys,IT,531.05,534.23,528.47,529.62,-0.27,93654,93519,0.14,VOL_STABLE,NORMAL,INFY: seg move -0.27%,Downside,"0.0%|93654,-0.27%|93654"
3,C,7,WIPRO,Wipro,IT,635.07,636.22,633.55,635.08,0.0,133532,133797,-0.2,VOL_STABLE,NORMAL,WIPRO: seg move 0.00%,Flat,"0.0%|133532,0.0%|133532"
