day,segment,stock_id,symbol,brief
1,C,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space inched higher by 0.72% in the closing segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
1,C,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by 0.05% in the closing segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,M,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space inched higher by 0.98% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,M,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space ended largely unchanged by -0.29% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,M,3,SBIN,"SBIN (SBI) from the Banking space ended largely unchanged by 0.16% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,M,4,RELIANCE,"RELIANCE (Reliance) from the Energy space drifted lower by -0.56% in the morning segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
2,M,5,TCS,"TCS (TCS) from the IT space ended largely unchanged by -0.10% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,M,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by -0.15% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,M,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by -0.46% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,M,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space rallied sharply by 4.55% in the morning segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,M,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by 0.27% in the morning segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,M,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by -0.09% in the morning segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,M,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by 0.27% in the morning segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,M,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space drifted lower by -0.72% in the morning segment and traded with normal participation, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
2,M,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space ended largely unchanged by 0.02% in the morning segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
2,M,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space drifted lower by -1.36% in the morning segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,M,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by 0.40% in the morning segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,D,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space inched higher by 0.71% in the midday segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,D,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space drifted lower by -1.31% in the midday segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,D,3,SBIN,"SBIN (SBI) from the Banking space ended largely unchanged by -0.11% in the midday segment and saw somewhat lighter activity, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,D,4,RELIANCE,"RELIANCE (Reliance) from the Energy space ended largely unchanged by 0.31% in the midday segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
2,D,5,TCS,"TCS (TCS) from the IT space ended largely unchanged by -0.07% in the midday segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,D,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by -0.15% in the midday segment and witnessed healthy participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,D,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by 0.23% in the midday segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,D,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space corrected sharply by -3.29% in the midday segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,D,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by -0.13% in the midday segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,D,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by 0.06% in the midday segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,D,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by 0.10% in the midday segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,D,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space ended largely unchanged by -0.17% in the midday segment and traded with normal participation, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
2,D,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space ended largely unchanged by -0.27% in the midday segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
2,D,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space ended largely unchanged by -0.21% in the midday segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,D,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by 0.14% in the midday segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,C,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space ended largely unchanged by 0.40% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,C,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space ended largely unchanged by 0.00% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,C,3,SBIN,"SBIN (SBI) from the Banking space ended largely unchanged by -0.16% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
2,C,4,RELIANCE,"RELIANCE (Reliance) from the Energy space drifted lower by -0.61% in the closing segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
2,C,5,TCS,"TCS (TCS) from the IT space ended largely unchanged by -0.11% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,C,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by -0.14% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,C,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by -0.11% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
2,C,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space rallied sharply by 8.57% in the closing segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,C,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by 0.29% in the closing segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
2,C,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by 0.02% in the closing segment and witnessed healthy participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,C,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by 0.25% in the closing segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
2,C,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space inched higher by 0.58% in the closing segment and traded with normal participation, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
2,C,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space ended largely unchanged by -0.41% in the closing segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
2,C,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space ended largely unchanged by -0.48% in the closing segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
2,C,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by -0.07% in the closing segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
3,M,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space ended largely unchanged by 0.13% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,M,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space inched higher by 1.23% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,M,3,SBIN,"SBIN (SBI) from the Banking space inched higher by 0.66% in the morning segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,M,4,RELIANCE,"RELIANCE (Reliance) from the Energy space drifted lower by -1.31% in the morning segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
3,M,5,TCS,"TCS (TCS) from the IT space ended largely unchanged by 0.50% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,M,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by -0.02% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,M,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by 0.45% in the morning segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,M,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space ended largely unchanged by -0.33% in the morning segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,M,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by 0.20% in the morning segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,M,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by 0.20% in the morning segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,M,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by -0.48% in the morning segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,M,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space ended largely unchanged by 0.05% in the morning segment and saw somewhat lighter activity, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
3,M,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space ended largely unchanged by 0.44% in the morning segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
3,M,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space drifted lower by -1.94% in the morning segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
3,M,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by -0.01% in the morning segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
3,D,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space ended largely unchanged by 0.39% in the midday segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,D,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space ended largely unchanged by 0.02% in the midday segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,D,3,SBIN,"SBIN (SBI) from the Banking space ended largely unchanged by 0.25% in the midday segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,D,4,RELIANCE,"RELIANCE (Reliance) from the Energy space ended largely unchanged by -0.29% in the midday segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
3,D,5,TCS,"TCS (TCS) from the IT space inched higher by 1.41% in the midday segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,D,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by 0.24% in the midday segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,D,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by -0.13% in the midday segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,D,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space corrected sharply by -5.90% in the midday segment and saw somewhat lighter activity, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,D,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by -0.01% in the midday segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,D,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by 0.23% in the midday segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,D,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by -0.08% in the midday segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,D,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space drifted lower by -0.63% in the midday segment and traded with normal participation, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
3,D,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space inched higher by 0.76% in the midday segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
3,D,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space ended largely unchanged by -0.03% in the midday segment and saw somewhat lighter activity, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
3,D,15,CIPLA,"CIPLA (Cipla) from the Pharma space ended largely unchanged by -0.11% in the midday segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
3,C,1,HDFCBANK,"HDFCBANK (HDFC Bank) from the Banking space ended largely unchanged by -0.44% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,C,2,ICICIBANK,"ICICIBANK (ICICI Bank) from the Banking space inched higher by 0.52% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,C,3,SBIN,"SBIN (SBI) from the Banking space ended largely unchanged by -0.22% in the closing segment and traded with normal participation, as traders reacted to shifts in rate expectations and commentary on loan growth and the broader tone in Indian equities for the day."
3,C,4,RELIANCE,"RELIANCE (Reliance) from the Energy space drifted lower by -0.50% in the closing segment and traded with normal participation, as traders reacted to movements in crude prices and refining or petrochemical margins and the broader tone in Indian equities for the day."
3,C,5,TCS,"TCS (TCS) from the IT space ended largely unchanged by 0.02% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,C,6,INFY,"INFY (Infosys) from the IT space ended largely unchanged by -0.27% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,C,7,WIPRO,"WIPRO (Wipro) from the IT space ended largely unchanged by 0.00% in the closing segment and traded with normal participation, as traders reacted to deal wins, margin commentary and global tech cues and the broader tone in Indian equities for the day."
3,C,8,HINDUNILVR,"HINDUNILVR (HUL) from the FMCG space rallied sharply by 2.80% in the closing segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,C,9,ITC,"ITC (ITC) from the FMCG space ended largely unchanged by 0.01% in the closing segment and traded with normal participation, as traders reacted to demand trends in rural and urban markets along with input cost commentary and the broader tone in Indian equities for the day."
3,C,10,TATAMOTORS,"TATAMOTORS (Tata Motors) from the Auto space ended largely unchanged by -0.46% in the closing segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,C,11,MARUTI,"MARUTI (Maruti Suzuki) from the Auto space ended largely unchanged by 0.26% in the closing segment and traded with normal participation, as traders reacted to monthly volume prints, pricing actions and festival demand expectations and the broader tone in Indian equities for the day."
3,C,12,BAJAJFINSV,"BAJAJFINSV (Bajaj Finserv) from the Financial Services space inched higher by 0.83% in the closing segment and traded with normal participation, as traders reacted to changes in retail credit demand and risk appetite in NBFC names and the broader tone in Indian equities for the day."
3,C,13,HDFCLIFE,"HDFCLIFE (HDFC Life) from the Insurance space ended largely unchanged by 0.12% in the closing segment and traded with normal participation, as traders reacted to persistency trends, protection mix and management outlook on premiums and the broader tone in Indian equities for the day."
3,C,14,SUNPHARMA,"SUNPHARMA (Sun Pharma) from the Pharma space ended largely unchanged by 0.04% in the closing segment and traded with normal participation, as traders reacted to US pricing, domestic demand and regulatory updates and the broader tone in Indian equities for the day."
